á.	 'a
amansia.	 ,&m&~Ns'i;&
amansável.	 ,&m&~Ns'aveU
amantadina.	 ,&m&~NtadZ'in&
amantar.	 ,&m&~Nt'ar
amanteigar.	 ,&m&~NteIg'ar
amantelar.	 ,&m&~Ntel'ar
amanteno.	 ,&m&~Nt'enU
amantiforme.	 ,&m&~NtSif'O*@-my
mbrola: Warning: r-m unkown, replaced with _-_
amantilhar.	 ,&m&~NtSil^'ar
Amantino.	 ,&m&~NtS'inU
amantismo.	 ,&m&~NtS'izmU
mbrola: Warning: z-m unkown, replaced with _-_
amantização.	 ,&m&~NtS,izas'&U~
amantizar.	 ,&m&~NtSiz'ar
amantênico.	 ,&m&~Nt'enikU
amantânio.	 ,&m&~Nt'&~njU
amantíssimo.	 ,&m&~NtS'isimU
amantético.	 ,&m&~Nt'EtSikU
amanuensal.	 ,&m&n,ueINs'aU
amanuensar.	 ,&m&n,ueINs'ar
Amanzio.	 ,&m&~Nz'iU
amação.	 ,&mas'&U~
Amapá.	 ,&map'a
amapaense.	 ,&mapa'eINsy
Amapá-AP.	 ,&map'a,ap'e
Amapari.	 ,&mapa*'i
Amapari-AP.	 ,&mapa*'i;,ap'e
amapá-doce.	 ,&map'ad'osy
amapola.	 ,&map'Ol&
Amaporã.	 ,&mapo*'&~
amaporanense.	 ,&map,o*&n'eINsy
amaporense.	 ,&mapo*'eINsy
Amaporã-PR.	 ,&mapo*'&~p,e'Exe
amapás-doces.	 ,&map'asd'osys
amapuru.	 ,&mapu*'u
amar.	 &m'ar
amaraboia.	 ,&ma*ab'OI;&
amaracarpo.	 ,&ma*ak'a*@-pU
mbrola: Warning: r-p unkown, replaced with _-_
amaragem.	 ,&ma*'aZeIN
Amaraji.	 ,&ma*aZ'i
amarajiense.	 ,&ma*,aZi;'eINsy
Amaraji-PE.	 ,&ma*aZ'ip,e'E
amaral.	 ,&ma*'aU
amaralense.	 ,&ma*al'eINsy
Amaralina.	 ,&ma*al'in&
Amaralina-GO.	 ,&ma*al'in&Z,e'O
amaralista.	 ,&ma*al'ist&
Amaral-MG.	 ,&ma*'aU,emeZ'e
Amarante-CE.	 ,&ma*'&~NtSys,e'E
amarantense.	 ,&ma*&~Nt'eINsy
Amarante-PI.	 ,&ma*'&~NtSyp,e'i
Amarante-RN.	 ,&ma*'&~NtSy;,Exe'ene
amarantinense.	 ,&ma*,&~NtSin'eINsy
amarantino.	 ,&ma*&~NtS'inU
amarantite.	 ,&ma*&~NtS'itSy
amarantito.	 ,&ma*&~NtS'itU
amaranto.	 ,&ma*'&~NtU
amarantoide.	 ,&ma*&~Nt'OIdZy
amarantos-verdes.	 ,&ma*'&~NtUsv'e*@-dZys
mbrola: Warning: r-d unkown, replaced with _-_
amaranto-verde.	 ,&ma*'&~NtUv'e*@-dZy
mbrola: Warning: r-d unkown, replaced with _-_
amarantês.	 ,&ma*&~Nt'es
amarasmear.	 ,&ma*,azme'ar
mbrola: Warning: z-m unkown, replaced with _-_
amarcial.	 ,&ma*@-si;'aU
mbrola: Warning: r-s unkown, replaced with _-_
amarácino.	 ,&ma*'asinU
amarídeo.	 ,&ma*'idZjU
amarecente.	 ,&ma*es'eINtSy
amarecer.	 ,&ma*es'er
amarelaço.	 ,&ma*el'asU
amarelar.	 ,&ma*el'ar
amarelecer.	 ,&ma*,eles'er
amarelejar.	 ,&ma*,eleZ'ar
amarelense.	 ,&ma*el'eINsy
amarelentar.	 ,&ma*,eleINt'ar
amarelentos.	 ,&ma*el'eINtUs
amarelete.	 ,&ma*el'EtSy
amareleza.	 ,&ma*el'ez&
amarelidez.	 ,&ma*,elid'es
amarelidão.	 ,&ma*,elid'&U~
amarelinho.	 ,&ma*el'in^U
amarelinho-da-serra.	 ,&ma*el'in^Udas'Ex&
amarelinhos-da-serra.	 ,&ma*el'in^Usdas'Ex&
amarelir.	 ,&ma*el'ir
amarelo-alaranjado.	 ,&ma*'ElU,ala*&~NZ'adU
amarelo-canário.	 ,&ma*'ElUk,&n'a*jU
amarelo-cidrão.	 ,&ma*'ElUsidR'&U~
amarelo-cinzento.	 ,&ma*'ElUs,iNz'eINtU
amarelo-claro.	 ,&ma*'ElUkl'a*U
amarelo-cobalto.	 ,&ma*'ElUk,ob'aUtU
amarelo-enxofre.	 ,&ma*'ElU,eINS'ofRy
amarelo-escuro.	 ,&ma*'ElU,esk'u*U
amarelo-esverdeado.	 ,&ma*'ElU,ezve*@-de'adU
mbrola: Warning: z-v unkown, replaced with _-_
mbrola: Warning: r-d unkown, replaced with _-_
amarelo-fosco.	 ,&ma*'ElUf'oskU
amarelo-gualdo.	 ,&ma*'ElUgw'aUdU
amarelo-laranja.	 ,&ma*'ElUl,a*'&~NZ&
amarelo-limão.	 ,&ma*'ElUlim'&U~
amarelo-oca.	 ,&ma*'ElU'ok&
amarelo-ocre.	 ,&ma*'ElU'okRy
amarelo-oiro.	 ,&ma*'ElU'oI*U
amarelo-ouro.	 ,&ma*'ElU'ow*U
amarelo-palha.	 ,&ma*'ElUp'al^&
amarelo-pardo.	 ,&ma*'ElUp'a*@-dU
mbrola: Warning: r-d unkown, replaced with _-_
amarelos.	 ,&ma*'ElUs
amarelos-canário.	 ,&ma*'ElUsk,&n'a*jU
amarelos-cidrão.	 ,&ma*'ElUssidR'&U~
amarelos-cinzentos.	 ,&ma*'ElUss,iNz'eINtUs
amarelos-claros.	 ,&ma*'ElUskl'a*Us
amarelos-cobalto.	 ,&ma*'ElUsk,ob'aUtU
amarelos-enxofre.	 ,&ma*'ElUz,eINS'ofRy
amarelos-escuros.	 ,&ma*'ElUz,esk'u*Us
amarelos-esverdeados.	 ,&ma*'ElUz,ezve*@-de'adUs
mbrola: Warning: z-v unkown, replaced with _-_
mbrola: Warning: r-d unkown, replaced with _-_
amarelos-foscos.	 ,&ma*'ElUsf'oskUs
amarelos-gualdos.	 ,&ma*'ElUsgw'aUdUs
amarelos-laranja.	 ,&ma*'ElUsl,a*'&~NZ&
amarelos-limão.	 ,&ma*'ElUslim'&U~
amarelos-oca.	 ,&ma*'ElUz'ok&
amarelos-ocre.	 ,&ma*'ElUz'okRy
amarelos-oiro.	 ,&ma*'ElUz'oI*U
amarelos-ouro.	 ,&ma*'ElUz'ow*U
amarelos-palha.	 ,&ma*'ElUsp'al^&
amarelos-topázio.	 ,&ma*'ElUst,op'azjU
amarelos-torrados.	 ,&ma*'ElUst,ox'adUs
amarelo-topázio.	 ,&ma*'ElUt,op'azjU
amarelo-torrado.	 ,&ma*'ElUt,ox'adU
amarelíssimo.	 ,&ma*el'isimU
amarense.	 ,&ma*'eINsy
amarescente.	 ,&ma*es'eINtSy
amarescer.	 ,&ma*es'er
amarfalhar.	 ,&ma*@-fal^'ar
mbrola: Warning: r-f unkown, replaced with _-_
amarfanhar.	 ,&ma*@-f&~n^'ar
mbrola: Warning: r-f unkown, replaced with _-_
amarfanharferir.	 ,&ma*@-f,&~n^a*@-fe*'ir
mbrola: Warning: r-f unkown, replaced with _-_
mbrola: Warning: r-f unkown, replaced with _-_
amarfinar.	 ,&ma*@-fin'ar
mbrola: Warning: r-f unkown, replaced with _-_
amargamento.	 ,&ma*@-g&m'eINtU
mbrola: Warning: r-g unkown, replaced with _-_
amargaritão.	 ,&ma*@-g,a*it'&U~
mbrola: Warning: r-g unkown, replaced with _-_
amargo.	 ,&m'a*@-gU
mbrola: Warning: r-g unkown, replaced with _-_
amargor.	 ,&ma*@-g'or
mbrola: Warning: r-g unkown, replaced with _-_
Amargosa-BA.	 ,&ma*@-g'Oz&b,e'a
mbrola: Warning: r-g unkown, replaced with _-_
amargoseira.	 ,&ma*@-goz'eI*&
mbrola: Warning: r-g unkown, replaced with _-_
amargosense.	 ,&ma*@-goz'eINsy
mbrola: Warning: r-g unkown, replaced with _-_
amargosita.	 ,&ma*@-goz'it&
mbrola: Warning: r-g unkown, replaced with _-_
amarguem.	 ,&m'a*@-geIN
mbrola: Warning: r-g unkown, replaced with _-_
amargueza.	 ,&ma*@-g'ez&
mbrola: Warning: r-g unkown, replaced with _-_
amarguém.	 ,&ma*@-g'eIN
mbrola: Warning: r-g unkown, replaced with _-_
amargurar.	 ,&ma*@-gu*'ar
mbrola: Warning: r-g unkown, replaced with _-_
amarguroso.	 ,&ma*@-gu*'ozU
mbrola: Warning: r-g unkown, replaced with _-_
amargável.	 ,&ma*@-g'aveU
mbrola: Warning: r-g unkown, replaced with _-_
Amari.	 ,&ma*'i
amariçar.	 ,&ma*is'ar
amaribá.	 ,&ma*ib'a
amaricar.	 ,&ma*ik'ar
amaricino.	 ,&ma*is'inU
amaridáceo.	 ,&ma*id'aseU
amaril.	 ,&ma*'iU
amarilídeo.	 ,&ma*il'idZjU
Amarildo.	 ,&ma*'iUdU
amarilígeno.	 ,&ma*il'iZenU
amarilidáceo.	 ,&ma*,ilid'aseU
amarilidiforme.	 ,&ma*,ilidZif'O*@-my
mbrola: Warning: r-m unkown, replaced with _-_
amarilidoideo.	 ,&ma*,ilid'oIdZjU
amarilina.	 ,&ma*il'in&
Amarilla.	 ,&ma*'il&
amarillita.	 ,&ma*il'it&
amarilínea.	 ,&ma*il'ine&
amarina.	 ,&ma*'in&
amarinhar.	 ,&ma*in^'ar
amarinheirar.	 ,&ma*,in^eI*'ar
amarinita.	 ,&ma*in'it&
Amarino.	 ,&ma*'inU
amario.	 ,&ma*'iU
amarisso.	 ,&ma*'isU
amaritúdine.	 ,&ma*it'udZiny
amaritina.	 ,&ma*itS'in&
amaritrina.	 ,&ma*itR'in&
amaritude.	 ,&ma*it'udZy
amarizar.	 ,&ma*iz'ar
amaríleo.	 ,&ma*'ileU
amarália.	 ,&ma*'alj&
amarílico.	 ,&ma*'ilikU
amarílide.	 ,&ma*'ilidZy
Amarílio.	 ,&ma*'iljU
amarílis.	 ,&ma*'ilis
amarnado.	 ,&ma*@-n'adU
mbrola: Warning: r-n unkown, replaced with _-_
amarância.	 ,&ma*'&~Nsj&
amaríneo.	 ,&ma*'ineU
amarântea.	 ,&ma*'&~Nte&
amaríntida.	 ,&ma*'iNtSid&
amaríntio.	 ,&ma*'iNtSjU
amaro.	 ,&m'a*U
Amaro-BA.	 ,&m'a*Ub,e'a
amaro-da-silva.	 ,&m'a*Udas'iUv&
amaroide.	 ,&ma*'OIdZy
amaro-leitense.	 ,&m'a*Ul,eIt'eINsy
amaros-da-silva.	 ,&m'a*Usdas'iUv&
amaroso.	 ,&ma*'ozU
amarotar.	 ,&ma*ot'ar
amarra.	 ,&m'ax&
amarradoiro.	 ,&maxad'oI*U
amarradouro.	 ,&maxad'ow*U
amarradura.	 ,&maxad'u*&
amarrafar.	 ,&maxaf'ar
amarração.	 ,&maxas'&U~
amarra-pinto.	 ,&m'ax&p'iNtU
amarrar.	 ,&max'ar
amarrecar.	 ,&maxek'ar
amarreta.	 ,&max'Et&
amarória.	 ,&ma*'O*j&
amarrilho.	 ,&max'il^U
amarronzar.	 ,&maxoNz'ar
amarroquinação.	 ,&max,okinas'&U~
amarrotar.	 ,&maxot'ar
amarrotável.	 ,&maxot'aveU
amarísio.	 ,&ma*'izjU
amartelar.	 ,&ma*@-tel'ar
mbrola: Warning: r-t unkown, replaced with _-_
amarugento.	 ,&ma*uZ'eINtU
amarujento.	 ,&ma*uZ'eINtU
amarulento.	 ,&ma*ul'eINtU
amarume.	 ,&ma*'umy
Amasa.	 ,&m'az&
Amasai.	 ,&maz'aI
amasatina.	 ,&mazatS'in&
ama-seca.	 '&~m&s'Ek&
amasiar.	 ,&mazi;'ar
amasios.	 ,&maz'iUs
amasisa.	 ,&maz'iz&
amasônia.	 ,&maz'onj&
amassa-barro.	 ,&m'as&b'axU
amassadeiro.	 ,&masad'eI*U
amassadela.	 ,&masad'El&
amassadia.	 ,&masadZ'i;&
amassadoiro.	 ,&masad'oI*U
amassadoria.	 ,&mas,ado*'i;&
amassadouro.	 ,&masad'ow*U
amassadura.	 ,&masad'u*&
amassagado.	 ,&masag'adU
amassar.	 ,&mas'ar
amas-secas.	 '&~m&ss'ek&s
amassilho.	 ,&mas'il^U
amassos.	 ,&m'asUs
amastia.	 ,&mastS'i;&
amastigota.	 ,&mastSig'Ot&
amasto.	 ,&m'astU
amastríaco.	 ,&mastR'i;&kU
amastriano.	 ,&mastRi;'&~nU
amatalar.	 ,&matal'ar
amatariense.	 ,&mat,a*i;'eINsy
amatauraense.	 ,&mat,aU*a'eINsy
amatócero.	 ,&mat'Ose*U
amatícola.	 ,&matS'ikol&
amaterialismo.	 ,&mat,e*i;al'izmU
mbrola: Warning: z-m unkown, replaced with _-_
amateu.	 ,&mat'eU
amatófilo.	 ,&mat'OfilU
amativo.	 ,&matS'ivU
amatólico.	 ,&mat'OlikU
amatol.	 ,&mat'Ol
amatório.	 ,&mat'O*jU
amatronamento.	 ,&matR,on&m'eINtU
amatronação.	 ,&matR,onas'&U~
amatronar.	 ,&matRon'ar
amatúsia.	 ,&mat'uzj&
amatular.	 ,&matul'ar
amatular-se.	 ,&matul'ars'y
amatungar.	 ,&matu~Ng'ar
Amaturá.	 ,&matu*'a
amaturaense.	 ,&mat,u*a'eINsy
Amaturá-AM.	 ,&matu*'a,a'eme
amatusino.	 ,&matuz'inU
amatutamento.	 ,&mat,ut&m'eINtU
amauaca.	 ,&maU'ak&
amaupirá.	 ,&maUpi*'a
amauróbio.	 ,&maU*'ObjU
Amauri.	 ,&maU*'i
Amaury.	 ,&m'aU*i
amauro.	 ,&m'aU*U
amaurosar.	 ,&maU*oz'ar
amaurose.	 ,&maU*'Ozy
amaurotizar.	 ,&maU*,otSiz'ar
amaurósporo.	 ,&maU*'Ospo*U
amaurótico.	 ,&maU*'OtSikU
amauta.	 ,&m'aUt&
amauzite.	 ,&maUz'itSy
amauzítico.	 ,&maUz'itSikU
amavio.	 ,&mav'iU
amaxófobo.	 ,&maks'OfobU
amaxofóbico.	 ,&maksof'ObikU
amaxofobia.	 ,&maks,ofob'i;&
amazegue.	 ,&maz'Egy
amazilhar.	 ,&mazil^'ar
amazílio.	 ,&maz'iljU
amazônico.	 ,&maz'onikU
amazônide.	 ,&maz'onidZy
amazônido.	 ,&maz'onidU
amazônio.	 ,&maz'onjU
amazona.	 ,&maz'on&
Amazonas-PR.	 ,&maz'on&sp,e'Exe
amazonense.	 ,&mazon'eINsy
amazoniano.	 ,&maz,oni;'&~nU
amazonidade.	 ,&maz,onid'adZy
amazoniense.	 ,&maz,oni;'eINsy
amazonismo.	 ,&mazon'izmU
mbrola: Warning: z-m unkown, replaced with _-_
amazonite.	 ,&mazon'itSy
amazonólogo.	 ,&mazon'OlogU
amazonístico.	 ,&mazon'istSikU
amazonítico.	 ,&mazon'itSikU
amazorrado.	 ,&mazox'adU
amazulo.	 ,&maz'ulU
AMB.	 '&~Nb
ambé.	 &~Nb'E
ambaíba.	 ,&~Nba'ib&
ambaúba-mansa.	 ,&~Nba'ub&m'&~Ns&
ambaúbas-mansas.	 ,&~Nba'ub&sm'&~Ns&s
ambabo.	 ,&~Nb'abU
ambaca.	 ,&~Nb'ak&
ambacte.	 ,&~Nb'aktSy
mbrola: Warning: k-t unkown, replaced with _-_
ambacto.	 ,&~Nb'aktU
ambages.	 ,&~Nb'aZys
ambagioso.	 ,&~NbaZi;'ozU
ambaiacaá.	 ,&~NbaI;,aka'a
ambaiaembo.	 ,&~NbaI;a'eImbU
ambaibatinga.	 ,&~NbaIbatS'iNg&
ambaitinga.	 ,&~NbaItS'iNg&
ambajo.	 ,&~Nb'aZU
ambaló.	 ,&~Nbal'O
ambali.	 ,&~Nbal'i
ambalão.	 ,&~Nbal'&U~
ambamustina.	 ,&~Nb&mustS'in&
ambanine.	 ,&~Nb&n'iny
ambaquista.	 ,&~Nbak'ist&
ambaró.	 ,&~Nba*'O
ambarage.	 ,&~Nba*'aZy
ambarar.	 ,&~Nba*'ar
ambarato.	 ,&~Nba*'atU
ambareiro.	 ,&~Nba*'eI*U
ambarilha.	 ,&~Nba*'il^&
ambarinato.	 ,&~Nba*in'atU
ambarino.	 ,&~Nba*'inU
ambarito.	 ,&~Nba*'itU
ambarização.	 ,&~Nba*,izas'&U~
ambarizar.	 ,&~Nba*iz'ar
ambarizável.	 ,&~Nba*iz'aveU
ambarínico.	 ,&~Nba*'inikU
ambarraja.	 ,&~Nbax'aZ&
ambarro.	 ,&~Nb'axU
ambarval.	 ,&~Nba*@-v'aU
mbrola: Warning: r-v unkown, replaced with _-_
ambarvate.	 ,&~Nba*@-v'atSy
mbrola: Warning: r-v unkown, replaced with _-_
ambasilida.	 ,&~Nbazil'id&
ambasso.	 ,&~Nb'asU
ambatoarinita.	 ,&~Nbat,oa*in'it&
ambaubeira.	 ,&~NbaUb'eI*&
ambaúva.	 ,&~Nba'uv&
ambaúva-mansa.	 ,&~Nba'uv&m'&~Ns&
ambaúvas-mansas.	 ,&~Nba'uv&sm'&~Ns&s
ambazona.	 ,&~Nbaz'on&
ambel.	 &~Nb'EU
ambelana.	 ,&~Nbel'&~n&
ambelânia.	 ,&~Nbel'&~nj&
ambeloneira.	 ,&~Nbelon'eI*&
ambenônio.	 ,&~Nben'onjU
ambenoxano.	 ,&~Nbenoks'&~nU
Amber.	 &~Nb'er
ambera.	 ,&~Nb'e*&
amberina.	 ,&~Nbe*'in&
amberite.	 ,&~Nbe*'itSy
amberol.	 ,&~Nbe*'Ol
ambeti.	 ,&~NbetS'i
ambígeno.	 ,&~Nb'iZenU
ambágio.	 ,&~Nb'aZjU
ambíguo.	 ,&~Nb'iguU
ambi.	 &~Nb'i
ambianense.	 ,&~Nbi;&n'eINsy
ambiano.	 ,&~Nbi;'&~nU
ambianular.	 ,&~Nbi;,&nul'ar
ambiar.	 ,&~Nbi;'ar
ambibaro.	 ,&~Nbib'a*U
ambibário.	 ,&~Nbib'a*jU
ambicídio.	 ,&~Nbis'idZjU
ambiciúncula.	 ,&~Nbisi;'u~Nkul&
ambicionar.	 ,&~Nbis,i;on'ar
ambicioneiro.	 ,&~Nbis,i;on'eI*U
ambicionável.	 ,&~Nbis,i;on'aveU
ambicioso.	 ,&~Nbisi;'ozU
amébico.	 ,&m'EbikU
ambicromila.	 ,&~NbikRom'il&
ambidesteridade.	 ,&~Nbid,este*id'adZy
ambidestreza.	 ,&~NbidestR'ez&
ambidestria.	 ,&~NbidestR'i;&
ambidestrismo.	 ,&~NbidestR'izmU
mbrola: Warning: z-m unkown, replaced with _-_
ambidestro.	 ,&~Nbid'EstRU
ambidextria.	 ,&~NbidestR'i;&
ambidextrismo.	 ,&~NbidestR'izmU
mbrola: Warning: z-m unkown, replaced with _-_
ambidextro.	 ,&~Nbid'estRU
amébido.	 ,&m'EbidU
ambidéster.	 ,&~Nbid'Ester
ambiegna.	 ,&~Nbi;'egIn&
ambiental.	 ,&~Nbi;eINt'aU
ambientalístico.	 ,&~Nbi;,eINtal'istSikU
ambientação.	 ,&~Nbi;,eINtas'&U~
ambientar.	 ,&~Nbi;eINt'ar
ambiente.	 ,&~Nbi;'eINtSy
ambientável.	 ,&~Nbi;eINt'aveU
ambiesquerdo.	 ,&~Nbi;esk'e*@-dU
mbrola: Warning: r-d unkown, replaced with _-_
ambifário.	 ,&~Nbif'a*jU
ambigenia.	 ,&~NbiZen'i;&
ambigênia.	 ,&~NbiZ'enj&
ambigênico.	 ,&~NbiZ'enikU
ambigrama.	 ,&~NbigR'&~m&
ambiguamente.	 ,&~Nbigw&m'eINtSy
ambiguidade.	 ,&~Nbigwid'adZy
ambiguifloro.	 ,&~Nbigifl'O*U
amábil.	 ,&m'abiU
ambil.	 &~Nb'iU
ambilateral.	 ,&~Nbil,ate*'aU
ambilatro.	 ,&~Nbil'atRU
ambilevo.	 ,&~Nbil'EvU
ambiliano.	 ,&~Nbili;'&~nU
ambiliato.	 ,&~Nbili;'atU
ambilogia.	 ,&~NbiloZ'i;&
ambilátero.	 ,&~Nbil'ate*U
ambiência.	 ,&~Nbj'eINsj&
ambição.	 ,&~Nbis'&U~
ambiofonia.	 ,&~Nbi;,ofon'i;&
ambiope.	 ,&~Nbi;'opy
ambiopia.	 ,&~Nbi;op'i;&
ambipolar.	 ,&~Nbipol'ar
ambipolaridade.	 ,&~Nbip,ola*id'adZy
ambir.	 &~Nb'ir
ambisporangiado.	 ,&~Nbisp,o*&~NZi;'adU
ambissinistro.	 ,&~Nbisin'istRU
ambisséxuo.	 ,&~Nbis'EksuU
ambistomatídeo.	 ,&~Nbist,omatS'idZjU
ambistomídeo.	 ,&~Nbistom'idZjU
ambitendencial.	 ,&~Nbit,eINdeINsi;'aU
ambitender.	 ,&~NbiteINd'er
ambitendência.	 ,&~NbiteINd'eINsj&
ambitude.	 ,&~Nbit'udZy
ambivalente.	 ,&~Nbival'eINtSy
ambivalência.	 ,&~Nbival'eINsj&
ambivareto.	 ,&~Nbiva*'EtU
ambiversão.	 ,&~Nbive*@-s'&U~
mbrola: Warning: r-s unkown, replaced with _-_
ambiverso.	 ,&~Nbiv'E*@-sU
mbrola: Warning: r-s unkown, replaced with _-_
ambiverter.	 ,&~Nbive*@-t'er
mbrola: Warning: r-t unkown, replaced with _-_
amblícero.	 ,&~Nbl'ise*U
amblema.	 ,&~Nbl'em&
amblemídio.	 ,&~Nblem'idZjU
amblígnato.	 ,&~Nbl'igIn&tU
amblígono.	 ,&~Nbl'igonU
ambília.	 ,&~Nb'ilj&
ambliacúsico.	 ,&~Nbli;ak'uzikU
ambliacústico.	 ,&~Nbli;ak'ustSikU
ambliacusia.	 ,&~Nbli;,akuz'i;&
ambliafia.	 ,&~Nbli;af'i;&
amblicarpo.	 ,&~Nblik'a*@-pU
mbrola: Warning: r-p unkown, replaced with _-_
amblicéfalo.	 ,&~Nblis'Ef&lU
amblicromasia.	 ,&~NblikR,omaz'i;&
amblicteno.	 ,&~Nblikt'enU
ambílide.	 ,&~Nb'ilidZy
ambliáfico.	 ,&~Nbli;'afikU
ambligeustia.	 ,&~NbliZeUstS'i;&
ambliglota.	 ,&~Nbligl'Ot&
ambligonite.	 ,&~Nbligon'itSy
ambligonítico.	 ,&~Nbligon'itSikU
ambligêustico.	 ,&~NbliZ'eUstSikU
amblioma.	 ,&~Nbli;'om&
ambliope.	 ,&~Nbli;'opy
ambliopia.	 ,&~Nbli;op'i;&
ambliopsídeo.	 ,&~Nbli;ops'idZjU
amblioscópico.	 ,&~Nbli;osk'OpikU
amblioscópio.	 ,&~Nbli;osk'OpjU
ambliópico.	 ,&~Nbli;'OpikU
ambliópode.	 ,&~Nbli;'OpodZy
ambliópsis.	 ,&~Nbli;'Opsis
ambliptérige.	 ,&~Nblipt'E*iZy
ambliúrio.	 ,&~Nbli;'u*jU
ambliórnis.	 ,&~Nbli;'O*@-nis
mbrola: Warning: r-n unkown, replaced with _-_
ambliúro.	 ,&~Nbli;'u*U
amblirrinco.	 ,&~Nblix'iNkU
amblirrino.	 ,&~Nblix'inU
ambliscópico.	 ,&~Nblisk'OpikU
ambliscópio.	 ,&~Nblisk'OpjU
amblisperme.	 ,&~Nblisp'E*@-my
mbrola: Warning: r-m unkown, replaced with _-_
amblissomo.	 ,&~Nblis'omU
amblistegito.	 ,&~NblisteZ'itU
amblistegítico.	 ,&~NblisteZ'itSikU
amblistomídeo.	 ,&~Nblistom'idZjU
amblímero.	 ,&~Nbl'ime*U
amblêmido.	 ,&~Nbl'emidU
amblíope.	 ,&~Nbl'i;Upy
amblose.	 ,&~Nbl'Ozy
amblípigo.	 ,&~Nbl'ipigU
amblípode.	 ,&~Nbl'ipodZy
amblípterix.	 ,&~Nbl'ipte*iks
ambléstis.	 ,&~Nbl'EstSis
amblístomo.	 ,&~Nbl'istomU
amblítero.	 ,&~Nbl'ite*U
amblótico.	 ,&~Nbl'OtSikU
ambão.	 &~Nb'&U~
ambo.	 '&~NbU
amboá.	 ,&~Nbo'a
amboceptor.	 ,&~Nbosept'or
amboim.	 ,&~Nbo'iN
ambolé.	 ,&~Nbol'E
ambolim.	 ,&~Nbol'iN
ambolina.	 ,&~Nbol'in&
ambom.	 &~Nb'oN
ambomicina.	 ,&~Nbomis'in&
amboína.	 ,&~Nbo'in&
ambone.	 ,&~Nb'ony
amborá.	 ,&~Nbo*'a
amborela.	 ,&~Nbo*'El&
amboreláceo.	 ,&~Nbo*el'aseU
amborepinima.	 ,&~Nbo*,epin'im&
amborepixuna.	 ,&~Nbo*,epiS'un&
ambornal.	 ,&~Nbo*@-n'aU
mbrola: Warning: r-n unkown, replaced with _-_
ambotraço.	 ,&~NbotR'asU
ambíparo.	 ,&~Nb'ip&*U
ambraciense.	 ,&~NbRasi;'eINsy
ambraciota.	 ,&~NbRasi;'Ot&
ambrar.	 &~NbR'ar
ambrazô.	 ,&~NbRaz'o
ambrácico.	 ,&~NbR'asikU
ambrácio.	 ,&~NbR'asjU
ambre.	 '&~NbRy
ambrear.	 ,&~NbRe'ar
ambreato.	 ,&~NbRe'atU
ambreína.	 ,&~NbRe'in&
ambóreo.	 ,&~Nb'O*eU
ambreoso.	 ,&~NbRe'ozU
ambreta.	 ,&~NbR'Et&
ambrevade.	 ,&~NbRev'adZy
ambárico.	 ,&~Nb'a*ikU
ambrina.	 ,&~NbR'in&
ambrisentana.	 ,&~NbRizeINt'&~n&
ambrite.	 ,&~NbR'itSy
ambrão.	 &~NbR'&U~
Ambrogina.	 ,&~NbRoZ'in&
Ambrogio.	 ,&~NbRoZ'iU
ambrológico.	 ,&~NbRol'OZikU
ambrologia.	 ,&~NbRoloZ'i;&
ambroma.	 ,&~NbR'om&
ambroína.	 ,&~NbRo'in&
ambrone.	 ,&~NbR'ony
ambrono.	 ,&~NbR'onU
Ambros.	 '&~NbRUs
ambrosíaco.	 ,&~NbRoz'i;&kU
Ambrose.	 ,&~NbR'Ozy
ambrosia.	 ,&~NbRoz'i;&
ambrosiado.	 ,&~NbRozi;'adU
ambrosial.	 ,&~NbRozi;'aU
ambrosiano.	 ,&~NbRozi;'&~nU
ambrosiáceo.	 ,&~NbRozi;'aseU
ambrosiense.	 ,&~NbRozi;'eINsy
ambrosiíneas.	 ,&~NbRozj'ine&s
ambrosino.	 ,&~NbRoz'inU
ambrosnato.	 ,&~NbRozn'atU
mbrola: Warning: z-n unkown, replaced with _-_
ambrosínia.	 ,&~NbRoz'inj&
ambroso.	 ,&~NbR'ozU
ambrotipia.	 ,&~NbRotSip'i;&
ambroxol.	 ,&~NbRoS'Ol
ambrozô.	 ,&~NbRoz'o
ambrária.	 ,&~NbR'a*j&
ambrósia-americana.	 ,&~NbR'Ozj&,&me*ik'&~n&
ambrósia-das-boticas.	 ,&~NbR'Ozj&dasb,otS'ik&s
ambrósia-do-méxico.	 ,&~NbR'Ozj&dUm'ESikU
ambrósias-americanas.	 ,&~NbR'Ozj&z,&me*ik'&~n&s
ambrósias-das-boticas.	 ,&~NbR'Ozj&sdasb,otS'ik&s
ambrósias-do-méxico.	 ,&~NbR'Ozj&sdUm'ESikU
ambrósio.	 ,&~NbR'OzjU
ambruticina.	 ,&~NbRutSis'in&
ambístoma.	 ,&~Nb'istom&
ambítuo.	 ,&~Nb'ituU
ambu.	 &~Nb'u
ambuá.	 &~Nbw'a
ambubaia.	 ,&~Nbub'aI;&
ambucaína.	 ,&~Nbuka'in&
ambucetamida.	 ,&~Nbus,et&m'id&
ambude.	 ,&~Nb'udZy
ambuela.	 ,&~Nbu'El&
ambufilina.	 ,&~Nbufil'in&
ambulacral.	 ,&~NbulakR'aU
ambulacriforme.	 ,&~Nbul,akRif'O*@-my
mbrola: Warning: r-m unkown, replaced with _-_
ambulacro.	 ,&~Nbul'akRU
ambulacrário.	 ,&~NbulakR'a*jU
ambulancial.	 ,&~Nbul,&~Nsi;'aU
ambulantemente.	 ,&~Nbul,&~Ntem'eINtSy
